epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3588,0.6263,1.82405,1.38631,0.77171,0.44355,0.52503,0.39918,1.14188,2.32026,1.62529,0.000660436,0.000660436,0.000660436
2,52.3098,0.40553,1.0153,1.19034,0.54234,0.2294,0.26941,0.17616,2.02212,4.17326,2.84945,0.00119572,0.00119572,0.00119572
3,76.3144,0.38428,0.77151,1.15253,0.75407,0.67742,0.74928,0.56062,0.92739,1.33819,1.31032,0.001599,0.001599,0.001599
4,100.186,0.38771,0.6345,1.16417,0.85974,0.76613,0.82328,0.61391,0.81884,1.42097,1.15606,0.001406,0.001406,0.001406
5,123.994,0.3643,0.58075,1.11284,0.9061,0.74194,0.81326,0.6269,0.8453,0.94686,1.06064,0.001208,0.001208,0.001208
6,147.649,0.32107,0.44388,1.0894,0.8721,0.66129,0.80921,0.62529,0.82309,0.92378,1.0181,0.00101,0.00101,0.00101
7,171.015,0.31643,0.4101,1.07755,0.94106,0.77256,0.8535,0.65398,0.78902,0.86199,1.0736,0.000812,0.000812,0.000812
8,194.434,0.27207,0.35222,1.04341,0.91771,0.76613,0.85068,0.64516,0.73068,1.17615,0.9625,0.000614,0.000614,0.000614
9,218.041,0.2562,0.31108,1.0404,0.85766,0.84677,0.86792,0.68664,0.73102,0.8489,0.90841,0.000416,0.000416,0.000416
10,241.72,0.24057,0.29521,1.0114,0.92548,0.80129,0.86663,0.68253,0.73095,0.97391,0.96276,0.000218,0.000218,0.000218
